13C-Plastisphere			12C-Plastisphere			13C-Seawater			12C-Seawater		
A-amoA			A-amoA			A-amoA			A-amoA		
1.67004	0.00135	0	1.66589	0.00113	0.00194	1.67004	0	0	1.65967	0	0
1.67836	0	0	1.67004	0.01739	2.07E-04	1.67636	0	0	1.67212	0	0.19619
1.67628	0	0	1.6742	0.00808	0.00194	1.67828	0.107	0.08637	1.6742	0.02472	2.50E-04
1.68044	0	0	1.6742	0.02013	0.01782	1.68044	9.00E-04	4.23E-05	1.68044	0.01574	0.02165
1.68253	0.00844	0.00283	1.68053	0.0025	1.94E-04	1.68253	0.0092	0.00506	1.68461	0.19935	0.10164
1.6867	0.04101	0.003	1.68204	0.13445	0.11521	1.6867	0.02161	0.04216	1.69088	0.04242	0.0365
1.69297	0.02052	8.49E-05	1.6867	0.57186	0.04626	1.69297	0.13305	5.62E-05	1.69288	0.11139	0.10582
1.69506	0.60683	0.16768	1.69506	0.12215	0.02286	1.69506	0.23134	4.29E-05	1.69506	0.5901	0.04871
1.69925	0.20236	0.01008	1.70151	0.11133	0.00419	1.69925	0.39931	0.02623	1.69925	0.00693	0.00252
1.70135	0.03296	0.07071	1.70344	0.0058	0.01004	1.70135	0	0	1.70135	0.00541	7.98E-04
1.70235	0.08652	0.04819	1.70764	0.00519	0.02015	1.70135	0.09758	0.02643	1.70344	0.00396	0.05589
1.70344	0	0	1.71184	0	0	1.70344	0	0	1.70435	0	0
