13C-Plastisphere			12C-Plastisphere			13C-Seawater			12C-Seawater		
b-amoA			b-amoA			b-amoA			b-amoA		
1.67004	0	0	1.66589	0	0	1.67004	0.00857	1.29E-04	1.65967	0.00733	0.00196
1.67636	0.0025	9.04E-04	1.67004	0.01082	0.00155	1.67836	0.00135	0.00653	1.67212	0.00266	0.00479
1.67828	0.00224	0.03682	1.6742	0.00813	0.02143	1.67628	9.05E-04	4.00E-04	1.6742	0.00341	4.94E-05
1.68044	1.50E-04	3.61E-04	1.6791	0	0.00997	1.68044	0.00393	0.07371	1.68044	0.00113	0.00753
1.68253	0.00243	0.0108	1.68053	0.00946	0.06737	1.68253	0.00471	0.05828	1.68461	0.59424	0.08351
1.6867	0.17887	0.05485	1.68244	0.63752	0.06345	1.6867	0.13314	0.00383	1.69088	0.00217	0.01423
1.69297	0.00686	0.05014	1.6867	0.21667	0.15217	1.69297	0.01385	0.00577	1.69288	0.36569	0.07464
1.69506	0.00266	7.15E-04	1.69506	0.10161	0.04684	1.69506	0.05539	0.00441	1.69506	0.01419	0.03789
1.69925	0.08665	0.00757	1.70191	9.82E-04	3.43E-04	1.69925	0.58035	0.09931	1.69925	0.00516	0.01351
1.70135	0.5906	0.06969	1.70344	0.0079	3.61E-04	1.70135	0.19781	0.06308	1.70135	0.0029	0.05335
1.70235	0.12703	0.06225	1.70764	0.00244	0.00456	1.70135	0	0.00181	1.70344	0.00109	0
1.70344	0	0	1.71184	0.00447	0.00804	1.70344	0	0	1.70135	3.73E-05	0.00471
