Module	1	2	3	4	5	6	Definition
M00835	0	0	0	29.692	12.322	1.496	Pyocyanine biosynthesis, chorismate => pyocyanine [PATH:map00405]
M00822	0	0	0	12.732	5.287	215.411	Multidrug resistance, efflux pump MexMN-OprM
M00821	1.306	0	6.798	22.583	53.887	2136.302	Multidrug resistance, efflux pump TriABC-TolC
M00820	7.532	9.047	3.394	7.068	8.544	1680.848	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system [PATH:map02020 map02025] [BR:ko02022]
M00804	10240.357	14429.417	13670.79	637.262	984.644	905.853	Complete nitrification, comammox, ammonia => nitrite => nitrate [PATH:map00910]
M00793	5.265	36.719	11.145	145.234	65.233	1417.23	dTDP-L-rhamnose biosynthesis [PATH:map00521 map00523]
M00790	0	0	0	0.944	0	69.318	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin [PATH:map00404]
M00789	0	0	0	0.944	0	69.318	Rebeccamycin biosynthesis, tryptophan => rebeccamycin [PATH:map00404]
M00770	0	0	0	0	0	185.782	PfeS-PfeR (enterobactin-dependent iron acquisition) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00769	0	0	0	0	0	331.923	Multidrug resistance, efflux pump MexPQ-OpmE
M00768	0	0	0	12.732	5.287	173.863	Multidrug resistance, efflux pump GesABC
M00767	0	0	0	0	2.064	0	Multidrug resistance, efflux pump OqxAB
M00766	0	1.342	3.002	0	0	56.338	Streptomycin resistance, deactivating enzyme StrAB
M00761	0	0	0	0	0	241.709	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N [PATH:map00520]
M00754	0	1.052	2.37	0.886	6.93	0	Nisin resistance, phage shock protein homolog LiaH
M00745	0	1.101	1.479	3.709	8.173	3830.322	Imipenem resistance, repression of porin OprD
M00744	0	0	1.247	24.253	8.446	81.986	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE
M00743	21.068	37.193	35.653	52.6	63.134	9383.982	Aminoglycoside resistance, protease HtpX
M00742	1391.582	1981.835	1746.359	551.419	733.444	19498.932	Aminoglycoside resistance, protease FtsH
M00741	336.892	263.036	295.405	321.372	694.925	637.019	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA [PATH:map01200 map00280 map00630 map00640]
M00740	2226.377	2443.322	2302.605	1650.643	2478.988	18193.965	Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630]
M00739	0	0	0	2.515	0	0	Cationic peptide transport system [PATH:map02010] [BR:ko02000]
M00736	77.754	25.935	37.899	0	24.791	0	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A [PATH:map00261]
M00729	382.601	279.072	411.701	121.408	162.997	6997.062	Fluoroquinolone resistance, gyrase-protecting protein Qnr
M00728	77.08	112.603	117.313	436.027	304.034	7239.693	Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA [PATH:map01503]
M00727	30.309	18.587	23.751	0.426	8.524	291.364	Cationic antimicrobial peptide (CAMP) resistance, N-acetylmuramoyl-L-alanine amidase AmiA and AmiC [PATH:map01503]
M00726	0	0	0	0	0	58.341	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF [PATH:map01503]
M00724	0	0	1.247	24.253	8.446	81.986	Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP [PATH:map01503]
M00723	0	0	1.247	24.253	8.446	81.986	Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase EptB [PATH:map01503]
M00722	0	0	0	0.184	13.087	1033.408	Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase PmrC [PATH:map01503]
M00721	0	0	1.247	24.253	8.446	390.649	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon [PATH:map01503]
M00720	1.306	0	6.798	22.583	53.887	1212.916	Multidrug resistance, efflux pump VexEF-TolC
M00718	14.925	31.052	21.773	104.441	123.661	2207.332	Multidrug resistance, efflux pump MexAB-OprM
M00709	2.398	0	13.292	46.836	63.871	1294.902	Macrolide resistance, MacAB-TolC transporter
M00707	0	0	0	27.753	0	0	Multidrug resistance, SmdAB/MdlAB transporter
M00701	0	0	0	1.997	33.153	140.253	Multidrug resistance, efflux pump EmrAB
M00699	14.925	31.052	21.773	91.709	118.374	2033.469	Multidrug resistance, efflux pump AmeABC
M00698	2.308	3.196	6.993	87.772	41.34	6.755	Multidrug resistance, efflux pump BpeEF-OprC
M00697	2.916	0	6.798	22.583	53.887	1283.948	Multidrug resistance, efflux pump MdtEF-TolC
M00696	1.306	0	6.798	22.583	53.887	1212.916	Multidrug resistance, efflux pump AcrEF-TolC
M00695	890.186	927.195	906.485	1884.072	688.617	309.05	cAMP signaling [PATH:map04024]
M00694	302.367	267.197	196.372	143.856	70.709	3.499	cGMP signaling [PATH:map04022]
M00693	362.377	430.366	366.53	976.59	1061.967	82.421	Cell cycle - G2/M transition [PATH:map04110 map04111]
M00692	126.462	200.815	141.278	207.719	141.819	20.702	Cell cycle - G1/S transition [PATH:map04110 map04111]
M00691	132.787	140.596	104.554	24.07	118.467	9.289	DNA damage-induced cell cycle checkpoints [PATH:map04110]
M00690	0	0	0	117.19	19.842	4.439	MAPK (ERK5) signaling [PATH:map04010]
M00689	70.164	56.746	67.735	173.183	145.717	6.755	MAPK (p38) signaling [PATH:map04010 map04013]
M00688	44.274	38.922	36.625	149.832	128.626	4.439	MAPK (JNK) signaling [PATH:map04010 map04013]
M00687	408.892	417.362	375.582	1460.41	497.795	57.063	MAPK (ERK1/2) signaling [PATH:map04010 map04013 map04011]
M00686	22.646	23.994	32.803	211.737	75.504	8.035	Toll-like receptor signaling [PATH:map04620 map04064]
M00685	0	0	0	0	4.62	0	Apoptotic machinery [PATH:map04210 map04214 map04215]
M00684	0	0	0	13.325	3.595	0	JAK-STAT signaling [PATH:map04630]
M00683	231.735	255.602	267.527	79.911	160.662	9.53	Hippo signaling [PATH:map04390 map04391]
M00682	273.963	200.093	203.107	204.988	252.744	8.926	Notch signaling [PATH:map04330]
